# Appendix 1 of Holdaway et al. 2016 Design of New Zealand's grid -based plot network (Landcare Research contract report),,,,,,,,,,,
# Updated 19 July 2016,,,,,,,,,,,
# Static Master Data for national 8km plot grid,,,,,,,,,,,
# Created by Robert Holdaway 20th April 2016,,,,,,,,,,,
# Column A = plotID,,,,,,,,,,,
"# Columns F-K = ideal gird-based plot location, in NZTM, NZMG and WGS84",,,,,,,,,,,
# Columns B & C = ideal randomised year of measurement for a 5 year measurement cycle for all plots,,,,,,,,,,,
# Columns D & E = ideal randomised year of measurement for a 10 year measurement cycle for all plots,,,,,,,,,,,
"# Column L = regional boundaries based on the New Zealand 2016 12 mile high definition spatial layer, downloaded from Statistics New Zealand on 14 April 2016",,,,,,,,,,,
#,,,,,,,,,,,
PlotID,cycle.year,cycle.code,cycle.year.10yr,cycle.code.10yr,NZMG_Northing,NZMG_Easting,WGS84_Lat,WGS84_Long,NZTM_Northing,NZTM_Easting,Region
AE163,2015,2,2016,3,5493074,2216051,-45.70965513,169.2253785,4931278.662,1306202.41,Otago Region
AE164,2018,5,2023,10,5485074,2216051,-45.78156414,169.2206815,4923272.604,1306214.815,Otago Region
AE165,2015,2,2016,3,5477074,2216051,-45.85347141,169.215973,4915266.619,1306227.72,Otago Region
AE166,2017,4,2021,8,5469074,2216051,-45.92537703,169.211253,4907260.7,1306241.139,Otago Region
AE167,2018,5,2022,9,5461074,2216051,-45.99728099,169.2065216,4899254.848,1306255.079,Otago Region
AE168,2015,2,2017,4,5453074,2216051,-46.06918348,169.2017792,4891249.042,1306269.577,Otago Region
AE169,2014,1,2015,2,5445074,2216051,-46.14108435,169.1970254,4883243.299,1306284.612,Otago Region
AE170,2018,5,2022,9,5437074,2216051,-46.21298359,169.1922603,4875237.62,1306300.188,Southland Region
AE171,2017,4,2020,7,5429074,2216051,-46.28488135,169.1874838,4867231.988,1306316.308,Otago Region
AE172,2015,2,2017,4,5421074,2216051,-46.35677727,169.182696,4859226.444,1306332.975,Otago Region
AE173,2015,2,2017,4,5413074,2216051,-46.4286713,169.1778968,4851220.994,1306350.193,Southland Region
AE174,2018,5,2023,10,5405074,2216051,-46.50056338,169.1730862,4843215.643,1306367.967,Southland Region
AE175,2018,5,2023,10,5397074,2216051,-46.57245358,169.1682646,4835210.387,1306386.322,Southland Region
AE176,2016,3,2019,6,5389074,2216051,-46.64434188,169.1634317,4827205.226,1306405.256,Southland Region
AF134,2018,5,2022,9,5725074,2224051,-43.62699441,169.4556606,5163448.403,1314052.563,West Coast Region
AF135,2017,4,2020,7,5717074,2224051,-43.69892853,169.4514176,5155443.944,1314052.32,West Coast Region
AF136,2018,5,2023,10,5709074,2224051,-43.77086307,169.4471622,5147439.312,1314052.347,West Coast Region
AF137,2017,4,2020,7,5701074,2224051,-43.84279776,169.4428948,5139434.54,1314052.69,West Coast Region
AF138,2014,1,2015,2,5693074,2224051,-43.91473253,169.4386154,5131429.633,1314053.355,West Coast Region
AF139,2015,2,2016,3,5685074,2224051,-43.98666738,169.434324,5123424.594,1314054.334,West Coast Region
AF140,2017,4,2020,7,5677074,2224051,-44.05860172,169.4300212,5115419.489,1314055.685,West Coast Region
AF141,2016,3,2019,6,5669074,2224051,-44.13053569,169.425707,5107414.302,1314057.414,Otago Region
AF142,2014,1,2014,1,5661074,2224051,-44.2024693,169.4213814,5099409.034,1314059.531,Otago Region
AF143,2017,4,2020,7,5653074,2224051,-44.2744028,169.4170449,5091403.658,1314062.066,Otago Region
AF144,2016,3,2018,5,5645074,2224051,-44.34633595,169.4126972,5083398.2,1314065.008,Otago Region
AF145,2017,4,2021,8,5637074,2224051,-44.41826865,169.4083387,5075392.673,1314068.396,Otago Region
AF146,2017,4,2021,8,5629074,2224051,-44.49020078,169.4039703,5067387.092,1314072.293,Otago Region
AF147,2017,4,2021,8,5621074,2224051,-44.56213201,169.3995909,5059381.491,1314076.628,Otago Region
AF148,2017,4,2020,7,5613074,2224051,-44.63406203,169.3952008,5051375.907,1314081.419,Otago Region
AF149,2017,4,2020,7,5605074,2224051,-44.70599083,169.3908,5043370.338,1314086.668,Otago Region
AF150,2016,3,2018,5,5597074,2224051,-44.77791899,169.3863879,5035364.721,1314092.349,Otago Region
AF151,2016,3,2018,5,5589074,2224051,-44.84984642,169.3819648,5027359.065,1314098.469,Otago Region
AF152,2018,5,2023,10,5581074,2224051,-44.92177304,169.3775304,5019353.38,1314105.028,Otago Region
AF153,2016,3,2019,6,5573074,2224051,-44.99369878,169.3730848,5011347.672,1314112.028,Otago Region
AF154,2017,4,2020,7,5565074,2224051,-45.06562358,169.3686281,5003341.949,1314119.477,Otago Region
AF155,2016,3,2019,6,5557074,2224051,-45.13754738,169.3641604,4995336.218,1314127.398,Otago Region
AF156,2016,3,2019,6,5549074,2224051,-45.20947012,169.3596819,4987330.488,1314135.797,Otago Region
AF157,2017,4,2020,7,5541074,2224051,-45.28139171,169.3551924,4979324.767,1314144.672,Otago Region
AF158,2016,3,2019,6,5533074,2224051,-45.35331224,169.350692,4971319.045,1314154.037,Otago Region
